iter	Passed	Remaining
292	964	2327
293	967	2323
294	970	2320
295	974	2316
296	977	2312
297	979	2307
298	982	2303
299	985	2299
300	988	2295
301	991	2292
302	994	2288
303	997	2283
304	1000	2279
305	1004	2277
306	1007	2273
307	1010	2269
308	1012	2265
309	1017	2263
310	1020	2260
311	1022	2255
312	1025	2251
313	1028	2247
314	1032	2244
315	1034	2239
316	1037	2235
317	1040	2232
318	1043	2228
319	1046	2224
320	1049	2220
321	1052	2216
322	1055	2211
323	1057	2207
324	1061	2205
325	1065	2203
326	1069	2200
327	1073	2199
328	1076	2195
329	1080	2193
330	1083	2190
331	1087	2188
332	1091	2187
333	1094	2182
334	1097	2178
335	1100	2174
336	1102	2169
337	1105	2165
338	1109	2164
339	1112	2159
340	1114	2154
341	1117	2150
342	1120	2146
343	1123	2143
344	1126	2138
345	1129	2134
346	1133	2133
347	1137	2131
348	1140	2126
349	1143	2123
350	1145	2118
351	1148	2113
352	1151	2109
353	1153	2105
354	1156	2101
355	1159	2097
356	1162	2093
357	1164	2089
358	1167	2085
359	1170	2080
360	1173	2076
361	1176	2072
362	1179	2069
363	1182	2065
364	1185	2061
365	1187	2057
366	1190	2053
367	1193	2049
368	1196	2045
369	1199	2042
370	1202	2039
371	1205	2034
372	1208	2031
373	1211	2028
374	1215	2025
375	1217	2020
376	1220	2016
377	1223	2012
378	1226	2009
379	1229	2005
380	1232	2002
381	1235	1998
382	1238	1994
383	1240	1990
384	1242	1985
385	1246	1982
386	1249	1978
387	1251	1974
388	1254	1970
389	1257	1966
390	1260	1962
391	1263	1958
392	1266	1955
393	1269	1952
394	1272	1949
395	1275	1946
396	1278	1942
397	1281	1937
398	1284	1934
399	1286	1930
400	1289	1926
401	1292	1922
402	1295	1919
403	1298	1915
404	1301	1911
405	1304	1908
406	1307	1905
407	1310	1901
408	1313	1897
409	1316	1893
410	1318	1889
411	1321	1886
412	1324	1882
413	1327	1878
414	1330	1875
415	1333	1871
416	1336	1868
417	1339	1864
418	1341	1860
419	1345	1857
420	1348	1853
421	1350	1850
422	1353	1846
423	1356	1842
424	1359	1838
425	1361	1833
426	1363	1830
427	1366	1826
428	1369	1822
429	1372	1818
430	1374	1815
431	1377	1811
432	1380	1807
433	1383	1804
434	1386	1801
435	1389	1797
436	1392	1794
437	1395	1790
438	1398	1786
439	1400	1782
440	1403	1779
441	1406	1775
442	1409	1772
443	1412	1768
444	1414	1764
445	1417	1760
446	1420	1756
447	1423	1753
448	1426	1750
449	1429	1746
450	1432	1743
451	1434	1739
452	1437	1736
453	1440	1732
454	1443	1728
455	1446	1725
456	1449	1722
457	1452	1718
458	1455	1715
459	1458	1711
460	1460	1707
461	1463	1704
462	1466	1701
463	1469	1697
464	1472	1694
465	1475	1690
466	1478	1687
467	1481	1683
468	1484	1680
469	1487	1677
470	1489	1673
471	1492	1669
472	1495	1666
473	1497	1662
474	1500	1658
475	1503	1655
476	1506	1651
477	1509	1648
478	1512	1644
479	1514	1641
480	1517	1637
481	1521	1635
482	1524	1632
483	1527	1628
484	1530	1625
485	1533	1621
486	1536	1618
487	1539	1615
488	1542	1611
489	1544	1607
490	1547	1604
491	1550	1600
492	1553	1597
493	1556	1593
494	1559	1590
495	1562	1587
496	1565	1584
497	1568	1581
498	1571	1577
499	1574	1574
500	1577	1570
501	1580	1567
502	1583	1564
503	1586	1561
504	1589	1557
505	1591	1554
506	1594	1550
507	1598	1547
508	1601	1544
509	1603	1541
510	1606	1537
511	1609	1534
512	1612	1530
513	1615	1527
514	1618	1524
515	1622	1521
516	1624	1518
517	1627	1514
518	1630	1511
519	1633	1507
520	1636	1504
521	1639	1501
522	1642	1497
523	1645	1494
524	1647	1490
525	1650	1487
526	1654	1484
527	1657	1481
528	1659	1477
529	1663	1475
530	1666	1471
531	1669	1468
532	1671	1464
533	1676	1462
534	1680	1460
535	1682	1456
536	1685	1453
537	1688	1449
538	1691	1446
539	1694	1443
540	1697	1439
541	1699	1436
542	1702	1432
543	1705	1429
544	1708	1426
545	1710	1422
546	1713	1419
547	1716	1415
548	1719	1412
549	1722	1409
550	1725	1405
551	1728	1402
552	1731	1399
553	1734	1396
554	1737	1392
555	1739	1389
556	1742	1386
557	1745	1382
558	1748	1379
559	1751	1376
560	1754	1372
561	1757	1369
562	1763	1368
563	1765	1365
564	1768	1361
565	1771	1358
566	1774	1355
567	1777	1352
568	1780	1348
569	1783	1345
570	1786	1342
571	1789	1338
572	1792	1335
573	1795	1332
574	1798	1329
575	1801	1326
576	1805	1323
577	1809	1321
578	1821	1324
579	1827	1323
580	1834	1323
581	1843	1323
582	1850	1323
583	1856	1322
584	1859	1319
585	1866	1318
586	1870	1316
587	1878	1316
588	1885	1315
589	1893	1316
590	1899	1314
591	1907	1314
592	1917	1316
593	1926	1316
594	1934	1316
595	1940	1315
596	1952	1317
597	1959	1317
598	1969	1318
599	1976	1317
600	1987	1319
601	1993	1318
602	2001	1317
603	2008	1317
604	2014	1315
605	2019	1312
606	2027	1312
607	2033	1311
608	2041	1310
609	2047	1309
610	2050	1305
611	2053	1301
612	2056	1298
613	2059	1294
614	2061	1290
615	2064	1287
616	2067	1283
617	2070	1279
618	2074	1276
619	2076	1272
620	2079	1269
621	2084	1266
622	2088	1263
623	2093	1261
624	2096	1257
625	2099	1254
626	2102	1250
627	2105	1247
628	2108	1243
629	2111	1240
630	2114	1236
631	2117	1232
632	2120	1229
633	2122	1225
634	2125	1221
635	2128	1218
636	2131	1214
637	2134	1211
638	2137	1207
639	2140	1203
640	2143	1200
641	2146	1197
642	2149	1193
643	2152	1189
644	2155	1186
645	2159	1183
646	2161	1179
647	2164	1175
648	2167	1172
649	2170	1168
650	2173	1165
651	2176	1161
652	2179	1157
653	2181	1154
654	2184	1150
655	2187	1147
656	2190	1143
657	2193	1139
658	2195	1136
659	2198	1132
660	2201	1128
661	2204	1125
662	2207	1121
663	2210	1118
664	2212	1114
665	2215	1111
666	2218	1107
667	2224	1105
668	2226	1101
669	2229	1098
670	2232	1094
671	2235	1091
672	2238	1087
673	2241	1084
674	2244	1080
675	2246	1076
676	2249	1073
677	2252	1069
678	2255	1066
679	2258	1062
680	2262	1059
681	2264	1056
682	2267	1052
683	2270	1048
684	2273	1045
685	2275	1041
686	2278	1038
687	2281	1034
688	2284	1031
689	2286	1027
690	2289	1023
691	2292	1020
692	2295	1016
693	2297	1013
694	2300	1009
695	2303	1006
696	2306	1002
697	2309	999
698	2312	995
699	2315	992
700	2318	988
701	2321	985
702	2325	982
703	2329	979
704	2335	977
705	2343	975
706	2347	972
707	2352	970
708	2355	966
709	2357	963
710	2361	959
711	2364	956
712	2367	953
713	2370	949
714	2373	946
715	2376	942
716	2379	939
717	2382	935
718	2384	932
719	2387	928
720	2390	925
721	2393	921
722	2396	918
723	2398	914
724	2401	911
725	2404	907
726	2407	904
727	2410	900
728	2412	896
729	2415	893
730	2418	890
731	2421	886
732	2424	883
733	2427	879
734	2430	876
735	2433	872
736	2436	869
737	2439	865
738	2442	862
739	2445	859
740	2448	855
741	2451	852
742	2454	848
743	2458	845
744	2460	842
745	2463	838
746	2467	835
747	2470	832
748	2472	828
749	2475	825
750	2478	821
751	2481	818
752	2484	815
753	2487	811
754	2490	808
755	2493	804
756	2497	801
757	2499	798
758	2502	794
759	2505	791
760	2508	787
761	2511	784
762	2514	780
763	2517	777
764	2519	774
765	2522	770
766	2525	767
767	2529	764
768	2532	760
769	2535	757
770	2538	754
771	2542	750
772	2545	747
773	2548	744
774	2551	740
775	2554	737
776	2556	733
777	2559	730
778	2563	727
779	2566	723
780	2569	720
781	2572	717
782	2574	713
783	2577	710
784	2580	706
785	2583	703
786	2586	700
787	2589	696
788	2591	693
789	2594	689
790	2597	686
791	2600	682
792	2603	679
793	2606	676
794	2609	672
795	2612	669
796	2614	665
797	2617	662
798	2620	659
799	2623	655
800	2626	652
801	2629	649
802	2632	645
803	2635	642
804	2638	639
805	2641	635
806	2645	632
807	2647	629
808	2650	625
809	2653	622
810	2655	618
811	2658	615
812	2661	612
813	2664	608
814	2667	605
815	2670	602
816	2673	598
817	2676	595
818	2679	592
819	2682	588
820	2685	585
821	2688	582
822	2690	578
823	2694	575
824	2697	572
825	2699	568
826	2702	565
827	2705	561
828	2708	558
829	2711	555
830	2714	551
831	2717	548
832	2720	545
833	2722	541
834	2725	538
835	2729	535
836	2731	532
837	2734	528
838	2738	525
839	2742	522
840	2745	518
841	2747	515
842	2751	512
843	2753	509
844	2756	505
845	2759	502
846	2762	499
847	2765	495
848	2768	492
849	2771	489
850	2774	485
851	2777	482
852	2780	479
853	2783	475
854	2786	472
855	2789	469
856	2792	465
857	2795	462
858	2798	459
859	2801	455
860	2803	452
861	2807	449
862	2811	446
863	2819	443
864	2821	440
865	2825	437
866	2827	433
867	2830	430
868	2835	427
869	2838	424
870	2841	420
871	2844	417
872	2847	414
873	2850	410
874	2853	407
875	2855	404
876	2858	400
877	2861	397
878	2864	394
879	2867	391
880	2870	387
881	2875	384
882	2877	381
883	2880	378
884	2884	374
885	2887	371
886	2889	368
887	2892	364
888	2895	361
889	2898	358
890	2901	354
891	2904	351
892	2907	348
893	2910	345
894	2913	341
895	2917	338
896	2919	335
897	2922	331
898	2925	328
899	2928	325
900	2931	322
901	2934	318
902	2937	315
903	2940	312
904	2943	308
905	2946	305
906	2948	302
907	2951	299
908	2954	295
909	2957	292
910	2960	289
911	2963	285
912	2966	282
913	2969	279
914	2972	276
915	2975	272
916	2978	269
917	2981	266
918	2983	262
919	2986	259
920	2989	256
921	2992	253
922	2995	249
923	2998	246
924	3001	243
925	3004	240
926	3007	236
927	3010	233
928	3012	230
929	3017	227
930	3022	223
931	3025	220
932	3028	217
933	3030	214
934	3033	210
935	3037	207
936	3040	204
937	3044	201
938	3047	197
939	3049	194
940	3052	191
941	3056	188
942	3059	184
943	3062	181
944	3065	178
945	3068	175
946	3070	171
947	3073	168
948	3077	165
949	3080	162
950	3082	158
951	3085	155
952	3088	152
953	3091	149
954	3094	145
955	3098	142
956	3100	139
957	3103	136
958	3106	132
959	3109	129
960	3112	126
961	3115	123
962	3118	119
963	3121	116
964	3124	113
965	3126	110
966	3130	106
967	3133	103
968	3135	100
969	3138	97
970	3141	93
971	3144	90
972	3147	87
973	3150	84
974	3153	80
975	3156	77
976	3159	74
977	3162	71
978	3165	67
979	3167	64
980	3170	61
981	3173	58
982	3176	54
983	3179	51
984	3182	48
985	3185	45
986	3187	41
987	3191	38
988	3194	35
989	3197	32
990	3199	29
991	3203	25
992	3206	22
993	3209	19
994	3212	16
995	3215	12
996	3218	9
997	3221	6
998	3224	3
999	3227	0
